,newAdmissions,cumAdmissions,newCases,cumCases,newDeaths,cumDeaths
2020-02-28,0.0,0.0,1,1,0.0,0.0
2020-02-29,0.0,0.0,0,1,0.0,0.0
2020-03-01,5.0,5.0,2,3,0.0,0.0
2020-03-02,12.0,17.0,1,4,0.0,0.0
2020-03-03,13.0,30.0,3,7,0.0,0.0
2020-03-04,11.0,41.0,6,13,0.0,0.0
2020-03-05,19.0,60.0,2,15,0.0,0.0
2020-03-06,21.0,81.0,6,21,0.0,0.0
2020-03-07,9.0,90.0,6,27,0.0,0.0
2020-03-08,11.0,101.0,3,30,0.0,0.0
2020-03-09,19.0,120.0,16,46,0.0,0.0
2020-03-10,30.0,150.0,21,67,0.0,0.0
2020-03-11,27.0,177.0,26,93,0.0,0.0
2020-03-12,24.0,201.0,38,131,1.0,1.0
2020-03-13,24.0,225.0,48,179,0.0,1.0
2020-03-14,22.0,247.0,19,198,2.0,3.0
2020-03-15,17.0,264.0,12,210,0.0,3.0
2020-03-16,30.0,294.0,21,231,1.0,4.0
2020-03-17,41.0,335.0,43,274,2.0,6.0
2020-03-18,43.0,378.0,41,315,0.0,6.0
2020-03-19,42.0,420.0,49,364,3.0,9.0
2020-03-20,72.0,492.0,83,447,5.0,14.0
2020-03-21,63.0,555.0,66,513,6.0,20.0
2020-03-22,52.0,607.0,75,588,5.0,25.0
2020-03-23,95.0,702.0,138,726,4.0,29.0
2020-03-24,97.0,799.0,167,893,7.0,36.0
2020-03-25,122.0,921.0,187,1080,10.0,46.0
2020-03-26,155.0,1076.0,223,1303,11.0,57.0
2020-03-27,146.0,1222.0,274,1577,11.0,68.0
2020-03-28,156.0,1378.0,205,1782,29.0,97.0
2020-03-29,137.0,1515.0,197,1979,20.0,117.0
2020-03-30,191.0,1706.0,321,2300,27.0,144.0
2020-03-31,184.0,1890.0,340,2640,38.0,182.0
2020-04-01,214.0,2104.0,384,3024,44.0,226.0
2020-04-02,168.0,2272.0,355,3379,36.0,262.0
2020-04-03,212.0,2484.0,379,3758,57.0,319.0
2020-04-04,153.0,2637.0,259,4017,27.0,346.0
2020-04-05,160.0,2797.0,225,4242,44.0,390.0
2020-04-06,203.0,3000.0,404,4646,62.0,452.0
2020-04-07,171.0,3171.0,351,4997,47.0,499.0
2020-04-08,157.0,3328.0,343,5340,52.0,551.0
2020-04-09,130.0,3458.0,304,5644,63.0,614.0
2020-04-10,116.0,3574.0,329,5973,55.0,669.0
2020-04-11,79.0,3653.0,185,6158,52.0,721.0
2020-04-12,85.0,3738.0,220,6378,46.0,767.0
2020-04-13,102.0,3840.0,359,6737,39.0,806.0
2020-04-14,101.0,3941.0,346,7083,50.0,856.0
2020-04-15,98.0,4039.0,331,7414,41.0,897.0
2020-04-16,97.0,4136.0,427,7841,41.0,938.0
2020-04-17,109.0,4245.0,394,8235,37.0,975.0
2020-04-18,74.0,4319.0,264,8499,51.0,1026.0
2020-04-19,57.0,4376.0,159,8658,44.0,1070.0
2020-04-20,68.0,4444.0,776,9434,61.0,1131.0
2020-04-21,70.0,4514.0,399,9833,50.0,1181.0
2020-04-22,65.0,4579.0,340,10173,44.0,1225.0
2020-04-23,66.0,4645.0,314,10487,48.0,1273.0
2020-04-24,91.0,4736.0,305,10792,38.0,1311.0
2020-04-25,43.0,4779.0,184,10976,47.0,1358.0
2020-04-26,39.0,4818.0,172,11148,43.0,1401.0
2020-04-27,76.0,4894.0,430,11578,60.0,1461.0
2020-04-28,72.0,4966.0,380,11958,40.0,1501.0
2020-04-29,47.0,5013.0,430,12388,37.0,1538.0
2020-04-30,56.0,5069.0,335,12723,43.0,1581.0
2020-05-01,55.0,5124.0,368,13091,48.0,1629.0
2020-05-02,46.0,5170.0,217,13308,44.0,1673.0
2020-05-03,39.0,5209.0,189,13497,36.0,1709.0
2020-05-04,53.0,5262.0,330,13827,40.0,1749.0
2020-05-05,40.0,5302.0,289,14116,50.0,1799.0
2020-05-06,46.0,5348.0,306,14422,43.0,1842.0
2020-05-07,36.0,5384.0,290,14712,39.0,1881.0
2020-05-08,32.0,5416.0,254,14966,34.0,1915.0
2020-05-09,20.0,5436.0,177,15143,34.0,1949.0
2020-05-10,26.0,5462.0,150,15293,27.0,1976.0
2020-05-11,33.0,5495.0,261,15554,31.0,2007.0
2020-05-12,37.0,5532.0,231,15785,30.0,2037.0
2020-05-13,26.0,5558.0,198,15983,42.0,2079.0
2020-05-14,27.0,5585.0,212,16195,34.0,2113.0
2020-05-15,31.0,5616.0,152,16347,24.0,2137.0
2020-05-16,18.0,5634.0,103,16450,28.0,2165.0
2020-05-17,9.0,5643.0,92,16542,26.0,2191.0
2020-05-18,27.0,5670.0,140,16682,23.0,2214.0
2020-05-19,12.0,5682.0,182,16864,28.0,2242.0
2020-05-20,18.0,5700.0,121,16985,21.0,2263.0
2020-05-21,13.0,5713.0,111,17096,23.0,2286.0
2020-05-22,15.0,5728.0,92,17188,16.0,2302.0
2020-05-23,14.0,5742.0,50,17238,9.0,2311.0
2020-05-24,8.0,5750.0,54,17292,7.0,2318.0
2020-05-25,13.0,5763.0,97,17389,14.0,2332.0
2020-05-26,14.0,5777.0,77,17466,13.0,2345.0
2020-05-27,11.0,5788.0,66,17532,16.0,2361.0
2020-05-28,6.0,5794.0,55,17587,16.0,2377.0
2020-05-29,10.0,5804.0,29,17616,11.0,2388.0
2020-05-30,3.0,5807.0,40,17656,6.0,2394.0
2020-05-31,10.0,5817.0,23,17679,6.0,2400.0
2020-06-01,7.0,5824.0,38,17717,3.0,2403.0
2020-06-02,4.0,5828.0,45,17762,6.0,2409.0
2020-06-03,7.0,5835.0,35,17797,8.0,2417.0
2020-06-04,6.0,5841.0,35,17832,2.0,2419.0
2020-06-05,10.0,5851.0,24,17856,9.0,2428.0
2020-06-06,5.0,5856.0,22,17878,3.0,2431.0
2020-06-07,6.0,5862.0,17,17895,7.0,2438.0
2020-06-08,3.0,5865.0,18,17913,5.0,2443.0
2020-06-09,4.0,5869.0,27,17940,1.0,2444.0
2020-06-10,7.0,5876.0,29,17969,5.0,2449.0
2020-06-11,6.0,5882.0,21,17990,2.0,2451.0
2020-06-12,1.0,5883.0,30,18020,2.0,2453.0
2020-06-13,4.0,5887.0,23,18043,3.0,2456.0
2020-06-14,6.0,5893.0,13,18056,4.0,2460.0
2020-06-15,7.0,5900.0,21,18077,3.0,2463.0
2020-06-16,4.0,5904.0,17,18094,6.0,2469.0
2020-06-17,6.0,5910.0,33,18127,3.0,2472.0
2020-06-18,3.0,5913.0,14,18141,3.0,2475.0
2020-06-19,4.0,5917.0,23,18164,0.0,2475.0
2020-06-20,2.0,5919.0,6,18170,3.0,2478.0
2020-06-21,1.0,5920.0,9,18179,2.0,2480.0
2020-06-22,5.0,5925.0,11,18190,3.0,2483.0
2020-06-23,4.0,5929.0,20,18210,1.0,2484.0
2020-06-24,4.0,5933.0,8,18218,1.0,2485.0
2020-06-25,2.0,5935.0,19,18237,0.0,2485.0
2020-06-26,0.0,5935.0,6,18243,0.0,2485.0
2020-06-27,3.0,5938.0,4,18247,4.0,2489.0
2020-06-28,2.0,5940.0,3,18250,0.0,2489.0
2020-06-29,1.0,5941.0,14,18264,1.0,2490.0
2020-06-30,0.0,5941.0,8,18272,0.0,2490.0
2020-07-01,2.0,5943.0,11,18283,0.0,2490.0
2020-07-02,0.0,5943.0,13,18296,0.0,2490.0
2020-07-03,1.0,5944.0,6,18302,1.0,2491.0
2020-07-04,1.0,5945.0,5,18307,0.0,2491.0
2020-07-05,1.0,5946.0,2,18309,1.0,2492.0
2020-07-06,3.0,5949.0,8,18317,0.0,2492.0
2020-07-07,1.0,5950.0,11,18328,0.0,2492.0
2020-07-08,0.0,5950.0,10,18338,0.0,2492.0
