name,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,rating
All-Bran with Extra Fiber,50,4,0,140,14,8,0,330,25,93.704912
All-Bran,70,4,1,260,9,7,5,320,25,59.425505
100% Bran,70,4,1,130,10,5,6,280,25,68.402973
Post Nat. Raisin Bran,120,3,1,200,6,11,14,260,25,37.840594
Raisin Bran,120,3,1,210,5,14,12,240,25,39.259197
Total Raisin Bran,140,3,1,190,4,15,14,230,100,28.592785
Bran Flakes,90,3,0,210,5,13,5,190,25,53.313813
Fruitful Bran,120,3,0,240,5,14,12,190,25,41.015492
Cracklin' Oat Bran,110,3,3,140,4,10,7,160,25,40.448772
Mueslix Crispy Blend,160,3,2,150,3,17,13,160,25,30.313351
Raisin Nut Bran,100,3,2,140,2.5,10.5,8,140,25,39.7034
Shredded Wheat 'n'Bran,90,3,0,0,4,19,0,140,0,74.472949
100% Natural Bran,120,3,5,15,2,8,8,135,0,33.983679
Nutri-Grain Almond-Raisin,140,3,2,220,3,21,7,130,25,40.69232
Bran Chex,90,2,1,200,4,15,6,125,25,49.120253
Crispy Wheat & Raisins,100,2,1,140,2,11,10,120,25,36.176196
Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,120,25,30.450843
Shredded Wheat spoon size,90,3,0,0,3,20,0,120,0,72.801787
Wheat Chex,100,3,1,230,3,17,3,115,25,49.787445
Quaker Oat Squares,100,4,1,135,2,14,6,110,25,49.511874
Quaker Oatmeal,100,5,2,0,2.7,0,0,110,0,50.828392
Raisin Squares,90,2,0,0,2,15,6,110,25,55.333142
Total Whole Grain,100,3,1,200,3,16,3,110,100,46.658844
Wheaties,100,3,1,200,3,17,3,110,25,51.592193
Cheerios,110,6,2,290,2,17,1,105,25,50.764999
Clusters,110,3,2,140,2,13,7,105,25,40.400208
Basic 4,130,3,2,210,2,18,8,100,25,37.038562
Frosted Mini-Wheats,100,3,0,0,3,14,7,100,25,58.345141
Great Grains Pecan,120,3,3,75,3,13,4,100,25,45.811716
Just Right Fruit & Nut,140,3,1,170,2,20,9,95,100,36.471512
Life,100,4,2,150,2,12,6,95,25,45.328074
Maypo,100,4,1,0,0,16,3,95,25,54.850917
Shredded Wheat,80,2,0,0,3,16,0,95,0,68.235885
Grape-Nuts,110,3,0,170,3,17,3,90,25,53.371007
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,90,25,31.072217
Multi-Grain Cheerios,100,2,1,220,2,15,6,90,25,40.105965
Nutri-grain Wheat,90,3,0,170,3,18,2,90,25,59.642837
Strawberry Fruit Wheats,90,2,0,15,3,15,5,90,25,59.363993
Grape Nuts Flakes,100,3,1,140,3,15,5,85,25,52.076897
Double Chex,100,2,0,190,1,18,5,80,25,44.330856
Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,70,25,29.509541
Count Chocula,110,1,1,180,0,12,13,65,25,22.396513
Just Right Crunchy  Nuggets,110,2,1,170,1,17,6,60,100,36.523683
Triples,110,2,1,250,0,21,3,60,25,39.106174
Wheaties Honey Gold,110,2,1,200,1,16,8,60,25,36.187559
Cocoa Puffs,110,1,1,180,0,12,13,55,25,22.736446
Lucky Charms,110,2,1,180,0,12,12,55,25,26.734515
Special K,110,6,0,230,1,16,3,55,25,53.131324
Puffed Wheat,50,2,0,0,1,10,0,50,0,63.005645
Cinnamon Toast Crunch,120,1,3,210,0,13,9,45,25,19.823573
Golden Grahams,110,1,1,280,0,15,9,45,25,23.804043
Honey Graham Ohs,120,1,2,220,1,12,11,45,25,21.871292
Product 19,100,3,0,320,1,20,3,45,100,41.50354
Golden Crisp,100,2,0,45,0,11,15,40,25,35.252444
Kix,110,2,1,260,0,21,3,40,25,39.241114
Nut&Honey Crunch,120,2,1,190,0,15,9,40,25,29.924285
Smacks,110,2,1,70,1,9,15,40,25,31.230054
Cap'n'Crunch,120,1,2,220,0,12,12,35,25,18.042851
Corn Flakes,100,2,0,290,1,21,2,35,25,45.863324
Honey-comb,110,1,0,180,0,14,11,35,25,28.742414
Rice Krispies,110,2,0,290,0,22,3,35,25,40.560159
Total Corn Flakes,110,2,1,200,0,21,3,35,100,38.839746
Apple Jacks,110,2,0,125,1,11,14,30,25,33.174094
Crispix,110,2,0,220,1,21,3,30,25,46.895644
Froot Loops,110,2,1,125,1,11,13,30,25,32.207582
Rice Chex,110,1,0,240,0,23,2,30,25,41.998933
Corn Chex,110,2,0,280,0,22,3,25,25,41.445019
Frosted Flakes,110,1,0,200,1,14,11,25,25,31.435973
Fruity Pebbles,110,1,1,135,0,13,12,25,25,28.025765
Trix,110,1,1,140,0,13,12,25,25,27.753301
Corn Pops,110,1,0,90,1,13,12,20,25,35.782791
Puffed Rice,50,1,0,0,0,13,0,15,0,60.756112
Almond Delight,110,2,2,200,1,14,8,0,25,34.384843
Cream of Wheat (Quick),100,3,0,80,1,21,0,0,0,64.533816
