,newAdmissions,cumAdmissions,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
2020-11-01,1280.0,145534.0,12457,914685,216.0,41861.0
2020-10-31,1240.0,144254.0,13649,902228,214.0,41645.0
2020-10-30,1109.0,143014.0,19380,888579,226.0,41431.0
2020-10-29,1345.0,141905.0,19809,869199,222.0,41205.0
2020-10-28,1239.0,140560.0,20189,849390,214.0,40983.0
2020-10-27,1190.0,139321.0,20443,829201,205.0,40769.0
2020-10-26,1279.0,138131.0,22706,808758,210.0,40564.0
2020-10-25,1186.0,136852.0,13097,786052,203.0,40354.0
2020-10-24,990.0,135666.0,13513,772955,163.0,40151.0
2020-10-23,997.0,134676.0,18085,759442,183.0,39988.0
2020-10-22,987.0,133679.0,19582,741357,182.0,39805.0
2020-10-21,997.0,132692.0,21469,721775,187.0,39623.0
2020-10-20,925.0,131695.0,21309,700306,167.0,39436.0
2020-10-19,861.0,130770.0,22076,678997,153.0,39269.0
2020-10-18,870.0,129909.0,11847,656921,118.0,39116.0
2020-10-17,785.0,129039.0,12350,645074,160.0,38998.0
2020-10-16,632.0,128254.0,14519,632724,123.0,38838.0
2020-10-15,792.0,127622.0,15234,618205,124.0,38715.0
2020-10-14,706.0,126830.0,16431,602971,99.0,38591.0
2020-10-13,764.0,126124.0,15425,586540,86.0,38492.0
2020-10-12,664.0,125360.0,16180,571115,98.0,38406.0
2020-10-11,628.0,124696.0,9642,554935,102.0,38308.0
2020-10-10,515.0,124068.0,10149,545293,88.0,38206.0
2020-10-09,544.0,123553.0,12991,535144,67.0,38118.0
2020-10-08,513.0,123009.0,15250,522153,76.0,38051.0
2020-10-07,491.0,122496.0,15183,506903,80.0,37975.0
2020-10-06,524.0,122005.0,14281,491720,61.0,37895.0
2020-10-05,472.0,121481.0,14031,477439,58.0,37834.0
2020-10-04,478.0,121009.0,9805,463408,54.0,37776.0
2020-10-03,386.0,120531.0,9699,453603,54.0,37722.0
2020-10-02,371.0,120145.0,11559,443904,64.0,37668.0
2020-10-01,368.0,119774.0,11289,432345,56.0,37604.0
2020-09-30,328.0,119406.0,10512,421056,49.0,37548.0
2020-09-29,310.0,119078.0,8720,410544,42.0,37499.0
2020-09-28,308.0,118768.0,8572,401824,47.0,37457.0
