,newAdmissions,cumAdmissions,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
2020-11-02,13.0,3016.0,716,40353,5.0,728.0
2020-11-01,38.0,3003.0,486,39637,10.0,723.0
2020-10-31,28.0,2965.0,543,39151,7.0,713.0
2020-10-30,37.0,2937.0,725,38608,8.0,706.0
2020-10-29,44.0,2900.0,729,37883,12.0,698.0
2020-10-28,35.0,2856.0,794,37154,9.0,686.0
2020-10-27,48.0,2821.0,853,36360,10.0,677.0
2020-10-26,36.0,2773.0,926,35507,10.0,667.0
2020-10-25,46.0,2737.0,706,34581,6.0,657.0
2020-10-24,52.0,2691.0,771,33875,8.0,651.0
2020-10-23,46.0,2639.0,899,33104,6.0,643.0
2020-10-22,47.0,2593.0,1099,32205,4.0,637.0
2020-10-21,39.0,2546.0,1135,31106,6.0,633.0
2020-10-20,53.0,2507.0,1080,29971,3.0,627.0
2020-10-19,45.0,2454.0,1059,28891,4.0,624.0
2020-10-18,42.0,2409.0,799,27832,7.0,620.0
2020-10-17,43.0,2367.0,852,27033,3.0,613.0
2020-10-16,45.0,2324.0,984,26181,2.0,610.0
2020-10-15,43.0,2279.0,1112,25197,4.0,608.0
2020-10-14,35.0,2236.0,1072,24085,2.0,604.0
2020-10-13,46.0,2201.0,1094,23013,4.0,602.0
2020-10-12,28.0,2155.0,1116,21919,5.0,598.0
2020-10-11,35.0,2127.0,838,20803,6.0,593.0
2020-10-10,29.0,2092.0,805,19965,0.0,587.0
2020-10-09,23.0,2063.0,856,19160,0.0,587.0
2020-10-08,27.0,2040.0,991,18304,0.0,587.0
2020-10-07,30.0,2013.0,1041,17313,1.0,587.0
2020-10-06,26.0,1983.0,806,16272,1.0,586.0
2020-10-05,23.0,1957.0,714,15466,1.0,585.0
2020-10-04,17.0,1934.0,616,14752,0.0,584.0
2020-10-03,22.0,1917.0,626,14136,1.0,584.0
2020-10-02,10.0,1895.0,701,13510,2.0,583.0
2020-10-01,13.0,1885.0,485,12809,1.0,581.0
2020-09-30,16.0,1872.0,644,12324,1.0,580.0
2020-09-29,7.0,1856.0,396,11680,0.0,579.0
2020-09-28,22.0,1849.0,299,11284,1.0,579.0
2020-09-27,11.0,1827.0,273,10985,0.0,578.0
2020-09-26,11.0,1816.0,270,10712,0.0,578.0
2020-09-25,7.0,1805.0,245,10442,1.0,578.0
2020-09-24,8.0,1798.0,286,10197,0.0,577.0
2020-09-23,13.0,1790.0,221,9911,0.0,577.0
2020-09-22,8.0,1777.0,171,9690,0.0,577.0
2020-09-21,12.0,1769.0,135,9519,0.0,577.0
2020-09-20,6.0,1757.0,124,9384,0.0,577.0
2020-09-19,3.0,1751.0,161,9260,2.0,577.0
2020-09-18,2.0,1748.0,168,9099,1.0,575.0
2020-09-17,5.0,1746.0,170,8931,0.0,574.0
2020-09-16,2.0,1741.0,136,8761,2.0,574.0
2020-09-15,5.0,1739.0,108,8625,1.0,572.0
2020-09-14,8.0,1734.0,120,8517,1.0,571.0
2020-09-13,5.0,1726.0,91,8397,0.0,570.0
2020-09-12,4.0,1721.0,107,8306,0.0,570.0
2020-09-11,6.0,1717.0,73,8199,2.0,570.0
2020-09-10,7.0,1711.0,79,8126,1.0,568.0
2020-09-09,1.0,1704.0,98,8047,0.0,567.0
2020-09-08,10.0,1703.0,56,7949,0.0,567.0
2020-09-07,1.0,1693.0,72,7893,2.0,567.0
2020-09-06,4.0,1692.0,106,7821,0.0,565.0
2020-09-05,1.0,1688.0,91,7715,1.0,565.0
2020-09-04,2.0,1687.0,131,7624,0.0,564.0
2020-09-03,3.0,1685.0,107,7493,2.0,564.0
2020-09-02,0.0,1682.0,91,7386,0.0,562.0
2020-09-01,4.0,1682.0,65,7295,1.0,562.0
2020-08-31,5.0,1678.0,54,7230,0.0,561.0
2020-08-30,3.0,1673.0,35,7176,0.0,561.0
2020-08-29,2.0,1670.0,44,7141,0.0,561.0
2020-08-28,5.0,1668.0,87,7097,1.0,561.0
2020-08-27,4.0,1663.0,79,7010,0.0,560.0
2020-08-26,0.0,1659.0,70,6931,0.0,560.0
2020-08-25,2.0,1659.0,65,6861,1.0,560.0
2020-08-24,6.0,1657.0,45,6796,0.0,559.0
2020-08-23,3.0,1651.0,52,6751,0.0,559.0
2020-08-22,2.0,1648.0,42,6699,0.0,559.0
2020-08-21,3.0,1646.0,80,6657,0.0,559.0
2020-08-20,6.0,1643.0,71,6577,0.0,559.0
2020-08-19,6.0,1637.0,41,6506,0.0,559.0
2020-08-18,6.0,1631.0,43,6465,0.0,559.0
2020-08-17,6.0,1625.0,53,6422,0.0,559.0
2020-08-16,2.0,1619.0,20,6369,0.0,559.0
2020-08-15,2.0,1617.0,22,6349,1.0,559.0
2020-08-14,2.0,1615.0,57,6327,0.0,558.0
2020-08-13,2.0,1613.0,51,6270,1.0,558.0
2020-08-12,2.0,1611.0,40,6219,0.0,557.0
2020-08-11,2.0,1609.0,38,6179,0.0,557.0
2020-08-10,0.0,1607.0,44,6141,0.0,557.0
2020-08-09,2.0,1607.0,25,6097,0.0,557.0
2020-08-08,5.0,1605.0,28,6072,1.0,557.0
2020-08-07,0.0,0.0,17,6044,0.0,556.0
2020-08-06,3.0,1600.0,18,6027,0.0,556.0
2020-08-05,1.0,1597.0,29,6009,0.0,556.0
2020-08-04,1.0,1596.0,18,5980,0.0,556.0
2020-08-03,3.0,1595.0,18,5962,0.0,556.0
2020-08-02,1.0,1592.0,9,5944,0.0,556.0
2020-08-01,3.0,1591.0,10,5935,0.0,556.0
2020-07-31,1.0,1588.0,13,5925,0.0,556.0
2020-07-30,1.0,1587.0,10,5912,0.0,556.0
2020-07-29,2.0,1586.0,11,5902,0.0,556.0
2020-07-28,1.0,1584.0,13,5891,0.0,556.0
2020-07-27,2.0,1583.0,12,5878,0.0,556.0
2020-07-26,0.0,1581.0,1,5866,0.0,556.0
2020-07-25,1.0,1581.0,4,5865,0.0,556.0
2020-07-24,3.0,1580.0,14,5861,0.0,556.0
2020-07-23,0.0,1577.0,12,5847,0.0,556.0
2020-07-22,2.0,1577.0,8,5835,0.0,556.0
2020-07-21,0.0,1575.0,12,5827,0.0,556.0
2020-07-20,1.0,1575.0,3,5815,0.0,556.0
2020-07-19,1.0,1574.0,3,5812,0.0,556.0
2020-07-18,2.0,1573.0,7,5809,0.0,556.0
2020-07-17,0.0,1571.0,9,5802,0.0,556.0
2020-07-16,2.0,1571.0,19,5793,0.0,556.0
2020-07-15,1.0,1569.0,15,5774,0.0,556.0
2020-07-14,0.0,1568.0,7,5759,0.0,556.0
2020-07-13,1.0,1568.0,3,5752,0.0,556.0
2020-07-12,0.0,1567.0,4,5749,1.0,556.0
2020-07-11,0.0,1567.0,6,5745,0.0,555.0
2020-07-10,0.0,1567.0,4,5739,0.0,555.0
2020-07-09,1.0,1567.0,5,5735,1.0,555.0
2020-07-08,4.0,1566.0,6,5730,0.0,554.0
2020-07-07,1.0,1562.0,5,5724,0.0,554.0
2020-07-06,2.0,1561.0,8,5719,0.0,554.0
2020-07-05,0.0,1559.0,2,5711,0.0,554.0
2020-07-04,2.0,1559.0,1,5709,0.0,554.0
2020-07-03,1.0,1557.0,8,5708,2.0,554.0
2020-07-02,1.0,1556.0,3,5700,0.0,552.0
2020-07-01,0.0,1555.0,4,5697,1.0,552.0
2020-06-30,2.0,1555.0,2,5693,0.0,551.0
2020-06-29,0.0,1553.0,4,5691,1.0,551.0
2020-06-28,3.0,1553.0,5,5687,0.0,550.0
2020-06-27,0.0,1550.0,4,5682,0.0,550.0
2020-06-26,1.0,1550.0,3,5678,2.0,550.0
2020-06-25,0.0,1549.0,5,5675,1.0,548.0
2020-06-24,2.0,1549.0,4,5670,0.0,547.0
2020-06-23,3.0,1547.0,8,5666,1.0,547.0
2020-06-22,2.0,1544.0,4,5658,1.0,546.0
2020-06-21,3.0,1542.0,3,5654,0.0,545.0
2020-06-20,3.0,1539.0,5,5651,0.0,545.0
2020-06-19,2.0,1536.0,13,5646,1.0,545.0
2020-06-18,0.0,1534.0,7,5633,1.0,544.0
2020-06-17,2.0,1534.0,5,5626,1.0,543.0
2020-06-16,1.0,1532.0,11,5621,1.0,542.0
2020-06-15,0.0,1531.0,19,5610,0.0,541.0
2020-06-14,0.0,1531.0,8,5591,0.0,541.0
2020-06-13,4.0,1531.0,10,5583,1.0,541.0
2020-06-12,2.0,1527.0,10,5573,1.0,540.0
2020-06-11,6.0,1525.0,10,5563,2.0,539.0
2020-06-10,7.0,1519.0,16,5553,0.0,537.0
2020-06-09,7.0,1512.0,11,5537,0.0,537.0
2020-06-08,2.0,1505.0,14,5526,0.0,537.0
2020-06-07,1.0,1503.0,5,5512,0.0,537.0
2020-06-06,3.0,1502.0,8,5507,0.0,537.0
2020-06-05,2.0,1499.0,24,5499,1.0,537.0
2020-06-04,3.0,1497.0,11,5475,0.0,536.0
2020-06-03,4.0,1494.0,11,5464,2.0,536.0
2020-06-02,4.0,1490.0,21,5453,2.0,534.0
2020-06-01,2.0,1486.0,24,5432,1.0,532.0
2020-05-31,4.0,1484.0,26,5408,1.0,531.0
2020-05-30,5.0,1480.0,13,5382,2.0,530.0
2020-05-29,6.0,1475.0,20,5369,1.0,528.0
2020-05-28,6.0,1469.0,28,5349,3.0,527.0
2020-05-27,6.0,1463.0,33,5321,4.0,524.0
2020-05-26,9.0,1457.0,28,5288,1.0,520.0
2020-05-25,9.0,1448.0,41,5260,1.0,519.0
2020-05-24,4.0,1439.0,31,5219,7.0,518.0
2020-05-23,4.0,1435.0,54,5188,2.0,511.0
2020-05-22,4.0,1431.0,33,5134,1.0,509.0
2020-05-21,7.0,1427.0,56,5101,4.0,508.0
2020-05-20,6.0,1420.0,76,5045,5.0,504.0
2020-05-19,10.0,1414.0,73,4969,5.0,499.0
2020-05-18,13.0,1404.0,63,4896,7.0,494.0
2020-05-17,13.0,1391.0,38,4833,7.0,487.0
2020-05-16,10.0,1378.0,40,4795,4.0,480.0
2020-05-15,13.0,1368.0,66,4755,3.0,476.0
2020-05-14,15.0,1355.0,74,4689,10.0,473.0
2020-05-13,19.0,1340.0,75,4615,3.0,463.0
2020-05-12,13.0,1321.0,93,4540,4.0,460.0
2020-05-11,22.0,1308.0,76,4447,2.0,456.0
2020-05-10,18.0,1286.0,62,4371,10.0,454.0
2020-05-09,16.0,1268.0,54,4309,7.0,444.0
2020-05-08,8.0,1252.0,72,4255,6.0,437.0
2020-05-07,11.0,1244.0,97,4183,3.0,431.0
2020-05-06,17.0,1233.0,80,4086,3.0,428.0
2020-05-05,12.0,1216.0,75,4006,6.0,425.0
2020-05-04,11.0,1204.0,75,3931,9.0,419.0
2020-05-03,11.0,1193.0,55,3856,11.0,410.0
2020-05-02,11.0,1182.0,90,3801,12.0,399.0
2020-05-01,19.0,1171.0,99,3711,12.0,387.0
2020-04-30,28.0,1152.0,116,3612,8.0,375.0
2020-04-29,17.0,1124.0,93,3496,14.0,367.0
2020-04-28,9.0,1107.0,75,3403,6.0,353.0
2020-04-27,23.0,1098.0,71,3328,13.0,347.0
2020-04-26,11.0,1075.0,45,3257,14.0,334.0
2020-04-25,19.0,1064.0,54,3212,15.0,320.0
2020-04-24,23.0,1045.0,83,3158,11.0,305.0
2020-04-23,24.0,1022.0,73,3075,16.0,294.0
2020-04-22,27.0,998.0,98,3002,19.0,278.0
2020-04-21,31.0,971.0,131,2904,13.0,259.0
2020-04-20,33.0,940.0,112,2773,12.0,246.0
2020-04-19,22.0,907.0,41,2661,10.0,234.0
2020-04-18,14.0,885.0,85,2620,10.0,224.0
2020-04-17,32.0,871.0,156,2535,9.0,214.0
2020-04-16,32.0,839.0,138,2379,11.0,205.0
2020-04-15,23.0,807.0,133,2241,16.0,194.0
2020-04-14,22.0,784.0,95,2108,12.0,178.0
2020-04-13,16.0,762.0,107,2013,7.0,166.0
2020-04-12,22.0,746.0,73,1906,16.0,159.0
2020-04-11,22.0,724.0,67,1833,11.0,143.0
2020-04-10,19.0,702.0,95,1766,11.0,132.0
2020-04-09,33.0,683.0,100,1671,18.0,121.0
2020-04-08,32.0,650.0,102,1571,4.0,103.0
2020-04-07,39.0,618.0,130,1469,8.0,99.0
2020-04-06,40.0,579.0,106,1339,6.0,91.0
2020-04-05,27.0,539.0,60,1233,11.0,85.0
2020-04-04,41.0,512.0,87,1173,9.0,74.0
2020-04-03,44.0,471.0,103,1086,10.0,65.0
2020-04-02,43.0,427.0,105,983,10.0,55.0
2020-04-01,44.0,384.0,103,878,4.0,45.0
2020-03-31,46.0,340.0,112,775,5.0,41.0
2020-03-30,34.0,294.0,84,663,4.0,36.0
2020-03-29,35.0,260.0,62,579,4.0,32.0
2020-03-28,38.0,225.0,76,517,8.0,28.0
2020-03-27,29.0,187.0,68,441,3.0,20.0
2020-03-26,29.0,158.0,76,373,2.0,17.0
2020-03-25,29.0,129.0,57,297,4.0,15.0
2020-03-24,15.0,100.0,41,240,2.0,11.0
2020-03-23,16.0,85.0,41,199,5.0,9.0
2020-03-22,8.0,69.0,18,158,1.0,4.0
2020-03-21,11.0,61.0,21,140,1.0,3.0
2020-03-20,10.0,50.0,17,119,0.0,2.0
2020-03-19,5.0,40.0,14,102,1.0,2.0
2020-03-18,7.0,35.0,13,88,1.0,1.0
2020-03-17,4.0,28.0,9,75,0.0,0.0
2020-03-16,4.0,24.0,8,66,0.0,0.0
2020-03-15,1.0,20.0,2,58,0.0,0.0
2020-03-14,2.0,19.0,10,56,0.0,0.0
2020-03-13,2.0,17.0,11,46,0.0,0.0
2020-03-12,4.0,15.0,4,35,0.0,0.0
2020-03-11,3.0,11.0,11,31,0.0,0.0
2020-03-10,2.0,8.0,5,20,0.0,0.0
2020-03-09,1.0,6.0,3,15,0.0,0.0
2020-03-08,0.0,5.0,3,12,0.0,0.0
2020-03-07,0.0,5.0,5,9,0.0,0.0
2020-03-06,3.0,5.0,2,4,0.0,0.0
2020-03-05,1.0,2.0,2,2,0.0,0.0
2020-03-04,0.0,1.0,0,0,0.0,0.0
2020-03-03,0.0,1.0,0,0,0.0,0.0
2020-03-02,1.0,1.0,0,0,0.0,0.0
2020-11-03,0.0,0.0,505,40858,8.0,736.0
2020-03-01,0.0,0.0,0,0,0.0,0.0
2020-02-29,0.0,0.0,0,0,0.0,0.0
2020-02-28,0.0,0.0,0,0,0.0,0.0
2020-02-27,0.0,0.0,0,0,0.0,0.0
2020-02-26,0.0,0.0,0,0,0.0,0.0
2020-02-25,0.0,0.0,0,0,0.0,0.0
2020-02-24,0.0,0.0,0,0,0.0,0.0
2020-02-23,0.0,0.0,0,0,0.0,0.0
2020-02-22,0.0,0.0,0,0,0.0,0.0
2020-02-21,0.0,0.0,0,0,0.0,0.0
2020-02-20,0.0,0.0,0,0,0.0,0.0
2020-02-19,0.0,0.0,0,0,0.0,0.0
2020-02-18,0.0,0.0,0,0,0.0,0.0
2020-02-17,0.0,0.0,0,0,0.0,0.0
2020-02-16,0.0,0.0,0,0,0.0,0.0
2020-02-15,0.0,0.0,0,0,0.0,0.0
2020-02-14,0.0,0.0,0,0,0.0,0.0
2020-02-13,0.0,0.0,0,0,0.0,0.0
2020-02-12,0.0,0.0,0,0,0.0,0.0
2020-02-11,0.0,0.0,0,0,0.0,0.0
2020-02-10,0.0,0.0,0,0,0.0,0.0
2020-02-09,0.0,0.0,0,0,0.0,0.0
2020-02-08,0.0,0.0,0,0,0.0,0.0
2020-02-07,0.0,0.0,0,0,0.0,0.0
2020-02-06,0.0,0.0,0,0,0.0,0.0
2020-02-05,0.0,0.0,0,0,0.0,0.0
2020-02-04,0.0,0.0,0,0,0.0,0.0
2020-02-03,0.0,0.0,0,0,0.0,0.0
