,newAdmissions,cumAdmissions,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
2020-11-03,104.0,18781.0,9.0,55658.0,1.0,1939.0
2020-11-02,75.0,18677.0,205.0,55649.0,6.0,1938.0
2020-11-01,76.0,18602.0,758.0,55444.0,18.0,1932.0
2020-10-31,80.0,18526.0,830.0,54686.0,9.0,1914.0
2020-10-30,97.0,18446.0,1219.0,53856.0,9.0,1905.0
2020-10-29,86.0,18349.0,1578.0,52637.0,16.0,1896.0
2020-10-28,83.0,18263.0,1351.0,51059.0,10.0,1880.0
2020-10-27,114.0,18180.0,1477.0,49708.0,23.0,1870.0
2020-10-26,76.0,18066.0,1556.0,48231.0,14.0,1847.0
2020-10-25,78.0,17990.0,939.0,46675.0,16.0,1833.0
2020-10-24,98.0,17912.0,1024.0,45736.0,14.0,1817.0
2020-10-23,123.0,17814.0,1197.0,44712.0,10.0,1803.0
2020-10-22,107.0,17691.0,1056.0,43515.0,25.0,1793.0
2020-10-21,92.0,17584.0,1263.0,42459.0,13.0,1768.0
2020-10-20,77.0,17492.0,1237.0,41196.0,4.0,1755.0
2020-10-19,60.0,17415.0,1110.0,39959.0,12.0,1751.0
2020-10-18,88.0,17355.0,715.0,38849.0,11.0,1739.0
2020-10-17,112.0,17267.0,708.0,38134.0,4.0,1728.0
2020-10-16,105.0,17155.0,952.0,37426.0,6.0,1724.0
2020-10-15,102.0,17050.0,791.0,36474.0,7.0,1718.0
2020-10-14,123.0,16948.0,904.0,35683.0,6.0,1711.0
2020-10-13,98.0,16825.0,952.0,34779.0,8.0,1705.0
2020-10-12,86.0,16727.0,782.0,33827.0,4.0,1697.0
2020-10-11,79.0,16641.0,625.0,33045.0,4.0,1693.0
2020-10-10,103.0,16562.0,619.0,32420.0,3.0,1689.0
2020-10-09,60.0,16459.0,782.0,31801.0,6.0,1686.0
2020-10-08,76.0,16399.0,828.0,31019.0,6.0,1680.0
2020-10-07,85.0,16323.0,848.0,30191.0,11.0,1674.0
2020-10-06,80.0,16238.0,770.0,29343.0,4.0,1663.0
2020-10-05,59.0,16158.0,703.0,28573.0,10.0,1659.0
2020-10-04,92.0,16099.0,614.0,27870.0,3.0,1649.0
2020-10-03,79.0,16007.0,518.0,27256.0,8.0,1646.0
2020-10-02,94.0,15928.0,599.0,26738.0,2.0,1638.0
2020-10-01,79.0,15834.0,623.0,26139.0,5.0,1636.0
2020-09-30,61.0,15755.0,596.0,25516.0,4.0,1631.0
2020-09-29,90.0,15694.0,466.0,24920.0,4.0,1627.0
2020-09-28,71.0,15604.0,426.0,24454.0,3.0,1623.0
2020-09-27,56.0,15533.0,317.0,24028.0,3.0,1620.0
2020-09-26,61.0,15477.0,403.0,23711.0,2.0,1617.0
2020-09-25,67.0,15416.0,385.0,23308.0,1.0,1615.0
2020-09-24,94.0,15349.0,316.0,22923.0,0.0,1614.0
2020-09-23,70.0,15255.0,378.0,22607.0,3.0,1614.0
2020-09-22,43.0,15185.0,379.0,22229.0,3.0,1611.0
2020-09-21,59.0,15142.0,309.0,21850.0,1.0,1608.0
2020-09-20,28.0,15083.0,252.0,21541.0,1.0,1607.0
2020-09-19,34.0,15055.0,280.0,21289.0,0.0,1606.0
2020-09-18,41.0,15021.0,246.0,21009.0,0.0,1606.0
2020-09-17,42.0,14980.0,261.0,20763.0,2.0,1606.0
2020-09-16,65.0,14938.0,207.0,20502.0,2.0,1604.0
2020-09-15,53.0,14873.0,164.0,20295.0,1.0,1602.0
2020-09-14,59.0,14820.0,191.0,20131.0,0.0,1601.0
2020-09-13,55.0,14761.0,165.0,19940.0,1.0,1601.0
2020-09-12,55.0,14706.0,140.0,19775.0,0.0,1600.0
2020-09-11,70.0,14651.0,145.0,19635.0,1.0,1600.0
2020-09-10,49.0,14581.0,186.0,19490.0,0.0,1599.0
2020-09-09,56.0,14532.0,158.0,19304.0,0.0,1599.0
2020-09-08,65.0,14476.0,143.0,19146.0,0.0,1599.0
2020-09-07,46.0,14411.0,159.0,19003.0,0.0,1599.0
2020-09-06,42.0,14365.0,131.0,18844.0,0.0,1599.0
2020-09-05,27.0,14323.0,128.0,18713.0,0.0,1599.0
2020-09-04,69.0,14296.0,149.0,18585.0,0.0,1599.0
2020-09-03,70.0,14227.0,125.0,18436.0,1.0,1599.0
2020-09-02,59.0,14157.0,95.0,18311.0,0.0,1598.0
2020-09-01,69.0,14098.0,57.0,18216.0,0.0,1598.0
2020-08-31,29.0,14029.0,44.0,18159.0,2.0,1598.0
2020-08-30,33.0,14000.0,46.0,18115.0,0.0,1596.0
2020-08-29,52.0,13967.0,44.0,18069.0,0.0,1596.0
2020-08-28,83.0,13915.0,52.0,18025.0,0.0,1596.0
2020-08-27,70.0,13832.0,50.0,17973.0,0.0,1596.0
2020-08-26,69.0,13762.0,44.0,17923.0,0.0,1596.0
2020-08-25,49.0,13693.0,50.0,17879.0,0.0,1596.0
2020-08-24,36.0,13644.0,36.0,17829.0,1.0,1596.0
2020-08-23,26.0,13608.0,11.0,17793.0,0.0,1595.0
2020-08-22,39.0,13582.0,19.0,17782.0,1.0,1595.0
2020-08-21,54.0,13543.0,22.0,17763.0,0.0,1594.0
2020-08-20,39.0,13489.0,31.0,17741.0,0.0,1594.0
2020-08-19,45.0,13450.0,35.0,17710.0,0.0,1594.0
2020-08-18,63.0,13405.0,38.0,17675.0,2.0,1594.0
2020-08-17,38.0,13342.0,19.0,17637.0,0.0,1592.0
2020-08-16,37.0,13304.0,18.0,17618.0,0.0,1592.0
2020-08-15,52.0,13267.0,10.0,17600.0,0.0,1592.0
2020-08-14,39.0,13215.0,17.0,17590.0,1.0,1592.0
2020-08-13,63.0,13176.0,17.0,17573.0,1.0,1591.0
2020-08-12,45.0,13113.0,24.0,17556.0,1.0,1590.0
2020-08-11,47.0,13068.0,27.0,17532.0,0.0,1589.0
2020-08-10,31.0,13021.0,19.0,17505.0,2.0,1589.0
2020-08-09,51.0,12990.0,8.0,17486.0,0.0,1587.0
2020-08-08,55.0,12939.0,5.0,17478.0,2.0,1587.0
2020-08-07,53.0,12884.0,15.0,17473.0,5.0,1585.0
2020-08-06,45.0,12831.0,22.0,17458.0,0.0,1580.0
2020-08-05,74.0,12786.0,22.0,17436.0,3.0,1580.0
2020-08-04,65.0,12712.0,24.0,17414.0,4.0,1577.0
2020-08-03,29.0,12647.0,22.0,17390.0,1.0,1573.0
2020-08-02,35.0,12618.0,14.0,17368.0,2.0,1572.0
2020-08-01,73.0,12583.0,16.0,17354.0,2.0,1570.0
2020-07-31,54.0,12510.0,16.0,17338.0,4.0,1568.0
2020-07-30,53.0,12456.0,30.0,17322.0,2.0,1564.0
2020-07-29,64.0,12403.0,27.0,17292.0,4.0,1562.0
2020-07-28,49.0,12339.0,27.0,17265.0,2.0,1558.0
2020-07-27,43.0,12290.0,23.0,17238.0,1.0,1556.0
2020-07-26,45.0,12247.0,35.0,17215.0,2.0,1555.0
2020-07-25,48.0,12202.0,24.0,17180.0,2.0,1553.0
2020-07-24,61.0,12154.0,30.0,17156.0,1.0,1551.0
2020-07-23,88.0,12093.0,31.0,17126.0,0.0,1550.0
2020-07-22,72.0,12005.0,25.0,17095.0,1.0,1550.0
