Ticker,Name,Market Cap
AZN,Astrazeneca Plc,"111,690.49 "
GSK,Glaxosmithkline Plc,"70,996.56 "
HSBA.L,Hsbc Hldgs Plc,"67,712.05 "
DGE,Diageo Plc,"61,952.97 "
BATS.L,British American Tobacco Plc,"59,111.13 "
RIO,Rio Tinto Plc,"55,363.72 "
ULVR.L,Unilever Plc,"54,488.58 "
RB.L,Reckitt Benckiser Group Plc,"50,471.01 "
RDSA.AS,Royal Dutch Shell Plc,"42,316.59 "
BP,Bp Plc,"42,308.63"
RDS-B,Royal Dutch Shell7,"36,643.04 "
NG,National Grid Plc,"33,464.84 "
BHP,Bhp Group Plc,"32,513.23 "
REL.L,Relx Plc Ord,"31,356.13 "
LSE,London Stock Exchange Group Plc,"30,611.04 "
VOD,Vodafone Group Plc,"28,543.95 "
"EXPN,L",Experian Plc,"27,865.79 "
PRU,Prudential Plc,"27,002.54 "
AAL,Anglo American Plc,"25,481.19 "
CRH,Crh Plc Ord,"22,137.50 "
